2022-04-27 19:31:35 install gzip:armhf <none> 1.6-5ubuntu1
2022-04-27 19:31:35 status half-installed gzip:armhf 1.6-5ubuntu1
2022-04-27 19:31:35 status unpacked gzip:armhf 1.6-5ubuntu1
2022-04-27 19:31:35 status unpacked gzip:armhf 1.6-5ubuntu1
2022-04-27 19:31:35 install hostname:armhf <none> 3.20
2022-04-27 19:31:35 status half-installed hostname:armhf 3.20
2022-04-27 19:31:35 status unpacked hostname:armhf 3.20
2022-04-27 19:31:35 status unpacked hostname:armhf 3.20
2022-04-27 19:31:35 install init-system-helpers:all <none> 1.51
2022-04-27 19:31:35 status half-installed init-system-helpers:all 1.51
2022-04-27 19:31:35 status unpacked init-system-helpers:all 1.51
2022-04-27 19:31:35 status unpacked init-system-helpers:all 1.51
2022-04-27 19:31:35 install libacl1:armhf <none> 2.2.52-3build1
2022-04-27 19:31:35 status half-installed libacl1:armhf 2.2.52-3build1
2022-04-27 19:31:35 status unpacked libacl1:armhf 2.2.52-3build1
2022-04-27 19:31:35 status unpacked libacl1:armhf 2.2.52-3build1
2022-04-27 19:31:35 install libattr1:armhf <none> 1:2.4.47-2build1
2022-04-27 19:31:35 status half-installed libattr1:armhf 1:2.4.47-2build1
2022-04-27 19:31:35 status unpacked libattr1:armhf 1:2.4.47-2build1
2022-04-27 19:31:35 status unpacked libattr1:armhf 1:2.4.47-2build1
2022-04-27 19:31:35 install libaudit-common:all <none> 1:2.8.2-1ubuntu1
2022-04-27 19:31:35 status half-installed libaudit-common:all 1:2.8.2-1ubuntu1
2022-04-27 19:31:35 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2022-04-27 19:31:35 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2022-04-27 19:31:35 install libaudit1:armhf <none> 1:2.8.2-1ubuntu1
2022-04-27 19:31:35 status half-installed libaudit1:armhf 1:2.8.2-1ubuntu1
2022-04-27 19:31:35 status unpacked libaudit1:armhf 1:2.8.2-1ubuntu1
2022-04-27 19:31:35 status unpacked libaudit1:armhf 1:2.8.2-1ubuntu1
2022-04-27 19:31:35 install libblkid1:armhf <none> 2.31.1-0.4ubuntu3
2022-04-27 19:31:35 status half-installed libblkid1:armhf 2.31.1-0.4ubuntu3
2022-04-27 19:31:35 status unpacked libblkid1:armhf 2.31.1-0.4ubuntu3
2022-04-27 19:31:35 status unpacked libblkid1:armhf 2.31.1-0.4ubuntu3
2022-04-27 19:31:35 install libbz2-1.0:armhf <none> 1.0.6-8.1
2022-04-27 19:31:35 status half-installed libbz2-1.0:armhf 1.0.6-8.1
2022-04-27 19:31:35 status unpacked libbz2-1.0:armhf 1.0.6-8.1
2022-04-27 19:31:35 status unpacked libbz2-1.0:armhf 1.0.6-8.1
2022-04-27 19:31:35 install libc-bin:armhf <none> 2.27-3ubuntu1
2022-04-27 19:31:35 status half-installed libc-bin:armhf 2.27-3ubuntu1
2022-04-27 19:31:35 status unpacked libc-bin:armhf 2.27-3ubuntu1
